SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
2025,1642777,Monique Akoa Makani,PHX,1022500083,2025-06-21,PHX @ CHI,W,18.116666666666667,3,4,0.75,2,2,1.0,0,0,0.0,2,2,4,2,3,3,0,0,1,1,8,11
2025,1642777,Monique Akoa Makani,PHX,1022500078,2025-06-19,PHX @ NYL,W,27.783333333333335,8,12,0.667,0,4,0.0,5,5,1.0,1,0,1,6,2,0,0,0,3,4,21,6
2025,1642777,Monique Akoa Makani,PHX,1022500077,2025-06-18,PHX @ CON,W,21.198333333333334,1,3,0.333,1,3,0.333,2,2,1.0,1,3,4,0,2,2,0,0,6,2,5,4
2025,1642777,Monique Akoa Makani,PHX,1022500070,2025-06-15,PHX @ LVA,W,20.933333333333334,0,3,0.0,0,0,0.0,0,0,0.0,2,2,4,1,0,1,0,0,3,1,0,1
2025,1642777,Monique Akoa Makani,PHX,1022500061,2025-06-11,PHX vs. DAL,W,22.933333333333334,3,5,0.6,3,3,1.0,0,0,0.0,1,1,2,3,0,0,0,0,4,2,9,8
2025,1642777,Monique Akoa Makani,PHX,1022500054,2025-06-07,PHX vs. SEA,L,17.05,2,4,0.5,0,1,0.0,2,2,1.0,0,2,2,2,2,0,0,0,5,1,6,-12
2025,1642777,Monique Akoa Makani,PHX,1022500049,2025-06-05,PHX vs. GSV,W,17.391666666666666,1,3,0.333,0,1,0.0,2,2,1.0,0,1,1,2,3,1,0,0,1,2,4,-5
2025,1642777,Monique Akoa Makani,PHX,1022500046,2025-06-03,PHX @ MIN,L,12.75,2,4,0.5,0,1,0.0,0,0,0.0,0,1,1,2,1,1,0,0,1,1,4,-3
2025,1642777,Monique Akoa Makani,PHX,1022500042,2025-06-01,PHX @ LAS,W,20.316666666666666,3,5,0.6,2,4,0.5,2,2,1.0,1,4,5,6,0,0,0,0,1,1,10,10
2025,1642777,Monique Akoa Makani,PHX,1022500038,2025-05-30,PHX vs. MIN,L,21.816666666666666,2,10,0.2,1,5,0.2,0,0,0.0,1,0,1,4,3,2,0,0,2,1,5,3
2025,1642777,Monique Akoa Makani,PHX,1022500031,2025-05-27,PHX vs. CHI,W,21.7,4,8,0.5,3,5,0.6,2,2,1.0,3,2,5,2,2,1,0,1,3,3,13,3
2025,1642777,Monique Akoa Makani,PHX,1022500025,2025-05-25,PHX vs. WAS,W,21.716666666666665,4,8,0.5,3,6,0.5,2,2,1.0,0,1,1,2,1,3,0,0,3,2,13,10
2025,1642777,Monique Akoa Makani,PHX,1022500020,2025-05-23,PHX @ SEA,L,23.453333333333333,5,9,0.556,3,4,0.75,1,1,1.0,1,1,2,2,2,0,1,1,2,2,14,1
2025,1642777,Monique Akoa Makani,PHX,1022500014,2025-05-21,PHX vs. LAS,W,23.973333333333333,4,8,0.5,3,6,0.5,0,0,0.0,0,2,2,3,0,0,0,0,4,1,11,5
2025,1642777,Monique Akoa Makani,PHX,1022500006,2025-05-17,PHX vs. SEA,W,17.296666666666667,1,3,0.333,0,2,0.0,0,0,0.0,0,1,1,1,1,1,0,0,4,0,2,24
2025,1627700,Julie Allemand,LAS,1022500057,2025-06-09,LAS vs. GSV,L,18.59,1,4,0.25,1,4,0.25,0,0,0.0,1,3,4,3,0,2,0,0,1,0,3,3
2025,1627700,Julie Allemand,LAS,1022500051,2025-06-06,LAS @ DAL,W,13.966666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,3,1,0,0,0,2,1,0,12
2025,1627700,Julie Allemand,LAS,1022500042,2025-06-01,LAS vs. PHX,L,35.1,0,2,0.0,0,2,0.0,0,0,0.0,2,3,5,6,4,1,0,0,2,0,0,-10
2025,1627700,Julie Allemand,LAS,1022500037,2025-05-30,LAS @ LVA,L,16.866666666666667,2,3,0.667,2,3,0.667,0,0,0.0,1,3,4,4,2,0,0,0,2,0,6,8
2025,1627700,Julie Allemand,LAS,1022500030,2025-05-27,LAS vs. ATL,L,17.115,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,2,1,0,0,0,3,0,3,1
2025,1627700,Julie Allemand,LAS,1022500024,2025-05-25,LAS vs. CHI,W,17.613333333333333,1,5,0.2,0,3,0.0,2,2,1.0,1,3,4,1,1,2,0,0,1,1,4,-8
2025,1627700,Julie Allemand,LAS,1022500019,2025-05-23,LAS vs. GSV,L,16.416666666666668,1,2,0.5,1,2,0.5,0,0,0.0,0,2,2,2,3,0,0,0,1,0,3,-6
2025,1627700,Julie Allemand,LAS,1022500014,2025-05-21,LAS @ PHX,L,8.72,1,3,0.333,1,3,0.333,0,0,0.0,0,1,1,1,2,1,0,0,0,0,3,-10
2025,1628263,Lindsay Allen,CON,1022500095,2025-06-25,CON @ LVA,L,18.416666666666668,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,4,0,0,0,0,1,2,2,0
2025,1628263,Lindsay Allen,CON,1022500089,2025-06-22,CON @ GSV,L,22.866666666666667,3,7,0.429,1,3,0.333,0,0,0.0,0,2,2,2,3,0,0,0,2,1,7,-22
2025,1628263,Lindsay Allen,CON,1022500081,2025-06-20,CON vs. DAL,L,16.67,2,2,1.0,0,0,0.0,2,2,1.0,0,0,0,1,3,2,0,0,4,3,6,-4
2025,1628263,Lindsay Allen,CON,1022500077,2025-06-18,CON vs. PHX,L,5.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0,0,0,-1
2025,1628263,Lindsay Allen,CON,1022500071,2025-06-17,CON @ IND,L,12.031666666666666,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,1,0,0,0,1,2,0,6
2025,1628263,Lindsay Allen,CON,1022500068,2025-06-15,CON vs. CHI,L,11.933333333333334,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,-13
2025,1628263,Lindsay Allen,CON,1022500017,2025-05-23,CON @ MIN,L,2.05,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,2
2025,1628263,Lindsay Allen,CON,1022500010,2025-05-20,CON vs. LVA,L,11.083333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,0,2,0,0,-22
2025,1628263,Lindsay Allen,CON,1022500007,2025-05-18,CON vs. WAS,L,23.9,2,5,0.4,0,0,0.0,2,3,0.667,0,1,1,8,0,0,2,0,1,5,6,-7
2025,204296,Rebecca Allen,CHI,1022500091,2025-06-24,CHI vs. LAS,W,25.633333333333333,3,8,0.375,1,2,0.5,0,0,0.0,0,5,5,0,0,1,0,1,0,1,7,2
2025,204296,Rebecca Allen,CHI,1022500085,2025-06-22,CHI @ ATL,L,25.75,2,4,0.5,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,3,0,4,-1
2025,204296,Rebecca Allen,CHI,1022500083,2025-06-21,CHI vs. PHX,L,17.033333333333335,1,4,0.25,0,3,0.0,0,0,0.0,0,3,3,3,2,2,1,0,2,1,2,-17
2025,204296,Rebecca Allen,CHI,1022500073,2025-06-17,CHI vs. WAS,L,21.05,2,4,0.5,1,2,0.5,2,2,1.0,0,5,5,4,4,2,0,0,1,2,7,5
2025,204296,Rebecca Allen,CHI,1022500068,2025-06-15,CHI @ CON,W,18.366666666666667,0,8,0.0,0,4,0.0,0,0,0.0,1,2,3,1,0,1,1,0,0,0,0,-6
2025,204296,Rebecca Allen,CHI,1022500063,2025-06-13,CHI @ ATL,L,28.683333333333334,2,8,0.25,2,7,0.286,0,0,0.0,0,4,4,4,0,0,0,0,1,0,6,-9
2025,204296,Rebecca Allen,CHI,1022500059,2025-06-10,CHI @ NYL,L,20.866666666666667,0,3,0.0,0,2,0.0,0,0,0.0,0,5,5,1,1,0,0,0,1,2,0,-21
2025,204296,Rebecca Allen,CHI,1022500053,2025-06-07,CHI vs. IND,L,15.35,3,6,0.5,1,2,0.5,1,2,0.5,0,2,2,1,1,0,1,1,1,4,8,-11
2025,204296,Rebecca Allen,CHI,1022500040,2025-05-31,CHI @ DAL,W,24.316666666666666,3,7,0.429,0,4,0.0,1,2,0.5,0,4,4,2,3,1,1,0,0,1,7,19
2025,204296,Rebecca Allen,CHI,1022500034,2025-05-29,CHI vs. DAL,W,23.083333333333332,5,11,0.455,3,6,0.5,0,0,0.0,2,2,4,1,1,1,0,0,0,0,13,16
2025,204296,Rebecca Allen,CHI,1022500031,2025-05-27,CHI @ PHX,L,9.318333333333333,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,1,1,0,0,0,0,0,0,-10
2025,204296,Rebecca Allen,CHI,1022500024,2025-05-25,CHI @ LAS,L,17.5,4,8,0.5,3,5,0.6,0,0,0.0,2,1,3,0,2,0,0,0,0,0,11,4
2025,204296,Rebecca Allen,CHI,1022500016,2025-05-22,CHI vs. NYL,L,19.716666666666665,4,8,0.5,1,3,0.333,2,4,0.5,2,2,4,0,3,0,0,0,2,2,11,-22
2025,204296,Rebecca Allen,CHI,1022500004,2025-05-17,CHI @ IND,L,19.166666666666668,3,9,0.333,1,5,0.2,0,0,0.0,0,2,2,1,1,1,0,0,2,0,7,-17
2025,1641656,Laeticia Amihere,GSV,1022500094,2025-06-25,GSV vs. NYL,L,12.633333333333333,2,7,0.286,0,1,0.0,2,2,1.0,2,3,5,0,1,1,1,1,0,2,6,0
2025,1641656,Laeticia Amihere,GSV,1022500089,2025-06-22,GSV vs. CON,W,23.366666666666667,3,9,0.333,0,2,0.0,4,5,0.8,4,8,12,1,6,1,1,1,4,3,10,6
2025,1641656,Laeticia Amihere,GSV,1022500079,2025-06-19,GSV vs. IND,W,19.05,3,6,0.5,0,0,0.0,4,8,0.5,1,2,3,3,0,1,4,1,2,4,10,13
2025,1641656,Laeticia Amihere,GSV,1022500074,2025-06-17,GSV @ DAL,L,24.243333333333332,6,7,0.857,0,0,0.0,2,3,0.667,3,3,6,2,2,0,1,0,4,2,14,-17
2025,1641656,Laeticia Amihere,GSV,1022500067,2025-06-14,GSV vs. SEA,W,14.653333333333334,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,0,2,0,0,1,2,0,2,-3
2025,1628878,Ariel Atkins,CHI,1022500091,2025-06-24,CHI vs. LAS,W,29.311666666666667,5,14,0.357,1,5,0.2,2,2,1.0,0,1,1,5,0,1,0,1,6,3,13,9
2025,1628878,Ariel Atkins,CHI,1022500085,2025-06-22,CHI @ ATL,L,34.57,8,22,0.364,2,6,0.333,11,11,1.0,0,6,6,3,2,2,0,2,6,5,29,-9
2025,1628878,Ariel Atkins,CHI,1022500083,2025-06-21,CHI vs. PHX,L,21.016666666666666,5,8,0.625,2,2,1.0,1,1,1.0,1,1,2,4,5,2,0,0,1,2,13,-13
2025,1628878,Ariel Atkins,CHI,1022500073,2025-06-17,CHI vs. WAS,L,34.04333333333334,4,9,0.444,0,1,0.0,2,2,1.0,0,2,2,7,2,2,4,0,2,6,10,-7
2025,1628878,Ariel Atkins,CHI,1022500068,2025-06-15,CHI @ CON,W,31.0,4,11,0.364,2,4,0.5,0,0,0.0,0,5,5,4,6,2,1,0,1,1,10,4
2025,1628878,Ariel Atkins,CHI,1022500063,2025-06-13,CHI @ ATL,L,29.391666666666666,4,10,0.4,1,3,0.333,3,4,0.75,0,1,1,5,0,2,0,2,4,7,12,-16
2025,1628878,Ariel Atkins,CHI,1022500059,2025-06-10,CHI @ NYL,L,30.5,5,11,0.455,0,4,0.0,1,2,0.5,1,3,4,0,5,3,0,2,2,5,11,-15
2025,1628878,Ariel Atkins,CHI,1022500053,2025-06-07,CHI vs. IND,L,28.216666666666665,2,11,0.182,0,3,0.0,0,0,0.0,1,2,3,3,3,2,1,0,4,2,4,-21
2025,1628878,Ariel Atkins,CHI,1022500040,2025-05-31,CHI @ DAL,W,25.905,8,14,0.571,4,8,0.5,6,8,0.75,2,2,4,3,1,4,0,0,5,6,26,5
2025,1628878,Ariel Atkins,CHI,1022500034,2025-05-29,CHI vs. DAL,W,35.28333333333333,7,14,0.5,2,5,0.4,1,2,0.5,1,4,5,6,1,1,0,2,2,4,17,1
2025,1628878,Ariel Atkins,CHI,1022500031,2025-05-27,CHI @ PHX,L,32.998333333333335,7,15,0.467,2,7,0.286,5,6,0.833,0,6,6,2,3,1,1,1,3,5,21,-4
2025,1628878,Ariel Atkins,CHI,1022500024,2025-05-25,CHI @ LAS,L,26.9,3,6,0.5,0,1,0.0,3,3,1.0,1,1,2,5,3,1,0,0,5,2,9,-12
2025,1628878,Ariel Atkins,CHI,1022500016,2025-05-22,CHI vs. NYL,L,22.666666666666668,2,8,0.25,2,4,0.5,2,3,0.667,0,2,2,1,1,0,0,1,4,4,8,-17
2025,1628878,Ariel Atkins,CHI,1022500004,2025-05-17,CHI @ IND,L,21.883333333333333,3,6,0.5,2,2,1.0,3,4,0.75,1,3,4,2,2,2,1,0,2,4,11,-20
2025,1631022,Shakira Austin,WAS,1022500090,2025-06-24,WAS vs. MIN,W,27.75,7,18,0.389,0,0,0.0,5,6,0.833,1,7,8,3,3,2,0,3,4,5,19,13
2025,1631022,Shakira Austin,WAS,1022500086,2025-06-22,WAS vs. DAL,W,29.85,7,16,0.438,0,0,0.0,7,8,0.875,4,3,7,2,3,1,1,0,3,4,21,22
2025,1631022,Shakira Austin,WAS,1022500080,2025-06-20,WAS @ ATL,L,32.333333333333336,13,17,0.765,0,0,0.0,2,2,1.0,4,6,10,3,1,3,2,1,5,4,28,16
2025,1631022,Shakira Austin,WAS,1022500073,2025-06-17,WAS @ CHI,W,27.466666666666665,4,8,0.5,0,1,0.0,1,2,0.5,2,7,9,2,4,2,4,0,0,3,9,23
2025,1631022,Shakira Austin,WAS,1022500069,2025-06-15,WAS vs. ATL,L,19.133333333333333,4,10,0.4,0,1,0.0,1,3,0.333,3,4,7,0,1,0,2,0,0,2,9,-8
2025,1631022,Shakira Austin,WAS,1022500055,2025-06-08,WAS vs. CON,W,16.213333333333335,5,6,0.833,0,0,0.0,4,5,0.8,0,5,5,0,3,0,0,0,4,3,14,14
2025,1631022,Shakira Austin,WAS,1022500048,2025-06-05,WAS vs. NYL,L,22.683333333333334,3,11,0.273,0,2,0.0,3,4,0.75,3,8,11,4,1,1,0,1,4,4,9,-9
2025,1631022,Shakira Austin,WAS,1022500045,2025-06-03,WAS @ IND,L,11.783333333333333,4,5,0.8,0,0,0.0,2,5,0.4,2,1,3,1,2,0,2,0,0,3,10,-12
2025,1631022,Shakira Austin,WAS,1022500036,2025-05-30,WAS vs. NYL,L,12.516666666666667,0,6,0.0,0,1,0.0,0,0,0.0,1,2,3,0,0,0,0,2,1,0,0,-24
2025,1631022,Shakira Austin,WAS,1022500032,2025-05-28,WAS vs. IND,W,14.981666666666667,5,9,0.556,0,0,0.0,3,4,0.75,1,2,3,0,1,2,1,1,3,2,13,2
2025,1631022,Shakira Austin,WAS,1022500013,2025-05-21,WAS @ GSV,L,10.1,1,1,1.0,0,0,0.0,0,1,0.0,1,3,4,0,5,1,0,0,1,2,2,11
2025,1631022,Shakira Austin,WAS,1022500007,2025-05-18,WAS @ CON,W,7.483333333333333,2,5,0.4,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,0,3,0,4,-1
2025,1642763,Marième Badiane,MIN,1022500038,2025-05-30,MIN @ PHX,W,1.9333333333333333,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,1
2025,1642763,Marième Badiane,MIN,1022500008,2025-05-18,MIN @ LAS,W,3.5083333333333333,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,1,1,0,0,2,0,0,-1
2025,1642763,Marième Badiane,MIN,1022500002,2025-05-16,MIN @ DAL,W,5.293333333333333,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,3,0,0,-7
2025,1627671,Rachel Banham,CHI,1022500091,2025-06-24,CHI vs. LAS,W,22.688333333333333,1,5,0.2,1,3,0.333,5,6,0.833,0,0,0,4,1,0,0,0,1,2,8,14
2025,1627671,Rachel Banham,CHI,1022500085,2025-06-22,CHI @ ATL,L,32.25,2,5,0.4,2,5,0.4,4,4,1.0,0,0,0,4,0,0,0,1,2,2,10,-9
2025,1627671,Rachel Banham,CHI,1022500083,2025-06-21,CHI vs. PHX,L,17.95,1,3,0.333,1,2,0.5,0,0,0.0,0,3,3,6,2,2,0,0,2,0,3,-9
2025,1627671,Rachel Banham,CHI,1022500073,2025-06-17,CHI vs. WAS,L,14.7,0,3,0.0,0,2,0.0,0,0,0.0,1,0,1,1,0,3,0,1,4,0,0,-4
2025,1627671,Rachel Banham,CHI,1022500068,2025-06-15,CHI @ CON,W,13.716666666666667,2,5,0.4,1,4,0.25,0,0,0.0,0,0,0,0,0,0,0,0,1,0,5,5
2025,1627671,Rachel Banham,CHI,1022500063,2025-06-13,CHI @ ATL,L,22.708333333333332,3,8,0.375,3,6,0.5,0,0,0.0,2,2,4,3,1,0,0,0,0,0,9,2
2025,1627671,Rachel Banham,CHI,1022500059,2025-06-10,CHI @ NYL,L,26.966666666666665,1,6,0.167,1,5,0.2,0,0,0.0,0,1,1,5,0,0,0,0,3,1,3,-4
2025,1627671,Rachel Banham,CHI,1022500053,2025-06-07,CHI vs. IND,L,21.1,2,8,0.25,0,4,0.0,0,0,0.0,0,0,0,2,1,0,0,0,3,1,4,-7
2025,1627671,Rachel Banham,CHI,1022500040,2025-05-31,CHI @ DAL,W,10.85,2,5,0.4,1,4,0.25,0,0,0.0,0,0,0,1,1,0,0,0,1,1,5,7
2025,1627671,Rachel Banham,CHI,1022500034,2025-05-29,CHI vs. DAL,W,4.35,1,2,0.5,1,2,0.5,1,1,1.0,0,0,0,0,0,0,0,0,0,0,4,-2
2025,1627671,Rachel Banham,CHI,1022500031,2025-05-27,CHI @ PHX,L,10.65,0,3,0.0,0,3,0.0,2,2,1.0,0,1,1,1,2,0,0,0,2,1,2,1
2025,1627671,Rachel Banham,CHI,1022500024,2025-05-25,CHI @ LAS,L,17.05,1,4,0.25,0,3,0.0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,2,10
2025,1627671,Rachel Banham,CHI,1022500016,2025-05-22,CHI vs. NYL,L,15.333333333333334,5,7,0.714,5,7,0.714,0,0,0.0,0,1,1,1,1,0,0,0,0,0,15,-4
2025,1627671,Rachel Banham,CHI,1022500004,2025-05-17,CHI @ IND,L,19.05,3,8,0.375,2,6,0.333,0,0,0.0,0,0,0,1,1,0,2,0,0,0,8,-19
2025,1642782,Sarah Ashlee Barker,LAS,1022500091,2025-06-24,LAS @ CHI,L,12.25,1,1,1.0,1,1,1.0,2,2,1.0,0,2,2,0,3,1,0,0,5,1,5,-2
2025,1642782,Sarah Ashlee Barker,LAS,1022500084,2025-06-21,LAS @ MIN,L,22.7,2,8,0.25,1,6,0.167,0,0,0.0,0,0,0,1,1,0,0,1,2,2,5,-4
2025,1642782,Sarah Ashlee Barker,LAS,1022500076,2025-06-17,LAS vs. SEA,L,33.983333333333334,4,11,0.364,4,5,0.8,0,0,0.0,1,6,7,1,2,0,0,1,2,1,12,-31
