SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GAME_DATE,MATCHUP,WL,MIN,PTS,days_since_last_game,avg_prev_5,avg_prev_15,HOME_AWAY,OPP,OPP_DEF_RATING,avg_prev_opp_3
2024,100940,Diana Taurasi,PHO,2024-05-14,PHO @ LVA,L,28.36667,23,5,,,Away,LVA,102.8,
2024,100940,Diana Taurasi,PHO,2024-05-18,PHO vs. ATL,W,29.88333,15,4,23.0,23.0,Home,ATL,99.4,
2024,100940,Diana Taurasi,PHO,2024-05-21,PHO @ LVA,W,29.65,9,3,19.0,19.0,Away,LVA,102.8,23.0
2024,100940,Diana Taurasi,PHO,2024-05-23,PHO vs. WAS,W,29.33333,20,2,15.66667,15.66667,Home,WAS,,
2024,100940,Diana Taurasi,PHO,2024-05-25,PHO vs. DAL,L,30.26667,28,2,16.75,16.75,Home,DAL,107.7,
2024,100940,Diana Taurasi,PHO,2024-05-28,PHO @ CON,L,24.78333,6,3,19.0,19.0,Away,CON,112.2,
2024,100940,Diana Taurasi,PHO,2024-05-29,PHO @ NYL,L,28.23333,14,1,15.6,16.83333,Away,NYL,97.7,
2024,100940,Diana Taurasi,PHO,2024-05-31,PHO @ MIN,L,21.50167,14,2,15.4,16.42857,Away,MIN,94.8,
2024,100940,Diana Taurasi,PHO,2024-06-02,PHO vs. LAS,W,28.74167,31,2,16.4,16.125,Home,LAS,107.5,
2024,100940,Diana Taurasi,PHO,2024-06-04,PHO @ SEA,L,31.63333,7,2,18.6,17.77778,Away,SEA,98.9,
2024,100940,Diana Taurasi,PHO,2024-06-07,PHO vs. MIN,W,30.88333,12,3,14.4,16.7,Home,MIN,94.8,14.0
2024,100940,Diana Taurasi,PHO,2024-06-09,PHO @ DAL,W,39.35,20,2,15.6,16.27273,Away,DAL,107.7,28.0
2024,100940,Diana Taurasi,PHO,2024-06-13,PHO vs. LVA,L,31.625,22,4,16.8,16.58333,Home,LVA,102.8,16.0
2024,100940,Diana Taurasi,PHO,2024-06-16,PHO vs. SEA,W,34.33333,13,3,18.4,17.0,Home,SEA,98.9,7.0
2024,100940,Diana Taurasi,PHO,2024-06-18,PHO vs. NYL,W,30.6,19,2,14.8,16.71429,Home,NYL,97.7,14.0
2024,100940,Diana Taurasi,PHO,2024-06-22,PHO @ MIN,L,24.21667,7,4,17.2,16.86667,Away,MIN,94.8,13.0
2024,100940,Diana Taurasi,PHO,2024-06-28,PHO vs. LAS,W,29.88333,20,6,16.2,15.8,Home,LAS,107.5,31.0
2024,100940,Diana Taurasi,PHO,2024-06-30,PHO vs. IND,L,32.135,19,2,16.2,16.13333,Home,IND,100.6,
2024,100940,Diana Taurasi,PHO,2024-07-03,PHO @ DAL,W,30.49833,16,3,15.6,16.8,Away,DAL,107.7,24.0
2024,100940,Diana Taurasi,PHO,2024-07-14,PHO @ CON,L,25.4,6,11,16.2,16.53333,Away,CON,112.2,6.0
2024,100940,Diana Taurasi,PHO,2024-07-16,PHO @ WAS,W,28.4,18,2,13.6,15.06667,Away,WAS,,20.0
2024,100940,Diana Taurasi,PHO,2024-08-15,PHO @ CHI,W,30.53167,11,30,15.8,15.86667,Away,CHI,108.3,
2024,100940,Diana Taurasi,PHO,2024-08-16,PHO @ IND,L,32.98333,16,1,14.0,15.66667,Away,IND,100.6,19.0
2024,100940,Diana Taurasi,PHO,2024-08-18,PHO vs. CHI,W,30.43333,23,2,13.4,15.8,Home,CHI,108.3,11.0
2024,100940,Diana Taurasi,PHO,2024-08-21,PHO @ ATL,L,30.4,3,3,14.8,15.26667,Away,ATL,99.4,15.0
2024,100940,Diana Taurasi,PHO,2024-08-23,PHO @ ATL,W,31.845,18,2,14.2,15.0,Away,ATL,99.4,9.0
2024,100940,Diana Taurasi,PHO,2024-08-26,PHO vs. NYL,L,34.43333,10,3,14.2,15.4,Home,NYL,97.7,16.5
2024,100940,Diana Taurasi,PHO,2024-08-28,PHO vs. MIN,L,31.46667,16,2,14.0,14.73333,Home,MIN,94.8,11.0
2024,100940,Diana Taurasi,PHO,2024-09-01,PHO vs. LVA,L,26.04167,9,4,14.0,14.33333,Home,LVA,102.8,18.0
2024,100940,Diana Taurasi,PHO,2024-09-03,PHO vs. ATL,W,31.325,13,2,11.2,14.06667,Home,ATL,99.4,12.0
2024,100940,Diana Taurasi,PHO,2024-09-05,PHO vs. WAS,L,25.2,8,2,13.2,13.66667,Home,WAS,,19.0
2024,100940,Diana Taurasi,PHO,2024-09-07,PHO @ SEA,L,25.45,18,2,11.2,13.73333,Away,SEA,98.9,10.0
2024,100940,Diana Taurasi,PHO,2024-09-13,PHO vs. CON,L,25.65,7,6,12.8,13.6,Home,CON,112.2,6.0
2024,100940,Diana Taurasi,PHO,2024-09-15,PHO @ CHI,W,28.63333,25,2,11.0,12.8,Away,CHI,108.3,17.0
2024,100940,Diana Taurasi,PHO,2024-09-17,PHO @ LAS,W,21.93667,13,2,14.2,13.4,Away,LAS,107.5,25.5
2024,100940,Diana Taurasi,PHO,2024-09-19,PHO vs. SEA,L,18.01667,9,2,14.2,13.86667,Home,SEA,98.9,12.66667
2024,201886,DeWanna Bonner,CON,2024-05-14,CON vs. IND,W,28.65167,20,5,,,Home,IND,100.6,
2024,201886,DeWanna Bonner,CON,2024-05-17,CON vs. WAS,W,34.83333,22,3,20.0,20.0,Home,WAS,,
2024,201886,DeWanna Bonner,CON,2024-05-20,CON @ IND,W,34.95833,22,3,21.0,21.0,Away,IND,100.6,20.0
2024,201886,DeWanna Bonner,CON,2024-05-23,CON vs. MIN,W,36.41667,20,3,21.33333,21.33333,Home,MIN,94.8,
2024,201886,DeWanna Bonner,CON,2024-05-25,CON @ CHI,W,34.63333,19,2,21.0,21.0,Away,CHI,108.3,
2024,201886,DeWanna Bonner,CON,2024-05-28,CON vs. PHO,W,29.2,19,3,20.6,20.6,Home,PHO,98.5,
2024,201886,DeWanna Bonner,CON,2024-05-31,CON vs. DAL,W,34.5,12,3,20.4,20.33333,Home,DAL,107.7,
2024,201886,DeWanna Bonner,CON,2024-06-02,CON @ ATL,W,30.44167,18,2,18.4,19.14286,Away,ATL,99.4,
2024,201886,DeWanna Bonner,CON,2024-06-04,CON vs. WAS,W,33.9,20,2,17.6,19.0,Home,WAS,,22.0
2024,201886,DeWanna Bonner,CON,2024-06-08,CON vs. NYL,L,34.23333,16,4,17.6,19.11111,Home,NYL,97.7,
2024,201886,DeWanna Bonner,CON,2024-06-10,CON vs. IND,W,22.13333,17,2,17.0,18.8,Home,IND,100.6,21.0
2024,201886,DeWanna Bonner,CON,2024-06-12,CON @ CHI,W,33.76667,16,2,16.6,18.63636,Away,CHI,108.3,19.0
2024,201886,DeWanna Bonner,CON,2024-06-15,CON @ DAL,W,29.05,8,3,17.4,18.41667,Away,DAL,107.7,12.0
2024,201886,DeWanna Bonner,CON,2024-06-18,CON vs. LAS,W,30.57667,16,3,15.4,17.61538,Home,LAS,107.5,
2024,201886,DeWanna Bonner,CON,2024-06-21,CON @ LVA,L,31.33333,6,3,14.6,17.5,Away,LVA,102.8,
2024,201886,DeWanna Bonner,CON,2024-06-23,CON @ SEA,L,33.55,9,2,12.6,16.73333,Away,SEA,98.9,
2024,201886,DeWanna Bonner,CON,2024-06-27,CON @ WAS,W,43.85,24,4,11.0,16.0,Away,WAS,,21.0
2024,201886,DeWanna Bonner,CON,2024-06-28,CON vs. ATL,L,31.91833,16,1,12.6,16.13333,Home,ATL,99.4,18.0
2024,201886,DeWanna Bonner,CON,2024-07-01,CON @ PHO,W,32.88333,7,3,14.2,15.73333,Away,PHO,98.5,19.0
2024,201886,DeWanna Bonner,CON,2024-07-04,CON @ MIN,W,35.67167,24,3,12.4,14.86667,Away,MIN,94.8,20.0
2024,201886,DeWanna Bonner,CON,2024-07-07,CON vs. ATL,W,31.15,23,3,16.0,15.2,Home,ATL,99.4,17.0
2024,201886,DeWanna Bonner,CON,2024-07-10,CON vs. NYL,L,40.0,22,3,18.8,15.46667,Home,NYL,97.7,16.0
2024,201886,DeWanna Bonner,CON,2024-07-14,CON vs. PHO,W,26.96667,17,4,18.4,16.13333,Home,PHO,98.5,13.0
2024,201886,DeWanna Bonner,CON,2024-07-16,CON @ NYL,L,35.13333,8,2,18.6,16.06667,Away,NYL,97.7,19.0
2024,201886,DeWanna Bonner,CON,2024-08-16,CON @ DAL,W,32.76667,29,31,18.8,15.26667,Away,DAL,107.7,10.0
2024,201886,DeWanna Bonner,CON,2024-08-18,CON @ ATL,L,25.88333,9,2,19.8,16.13333,Away,ATL,99.4,19.0
2024,201886,DeWanna Bonner,CON,2024-08-20,CON vs. LAS,W,25.55,7,2,17.0,15.6,Home,LAS,107.5,16.0
2024,201886,DeWanna Bonner,CON,2024-08-23,CON vs. CHI,W,34.00833,15,3,14.0,15.0,Home,CHI,108.3,17.5
2024,201886,DeWanna Bonner,CON,2024-08-24,CON @ NYL,W,35.15,10,1,13.6,15.46667,Away,NYL,97.7,15.33333
2024,201886,DeWanna Bonner,CON,2024-08-28,CON @ IND,L,25.64,13,4,14.0,15.06667,Away,IND,100.6,19.66667
2024,201886,DeWanna Bonner,CON,2024-08-31,CON @ WAS,W,29.31667,16,3,10.8,15.53333,Away,WAS,,22.0
2024,201886,DeWanna Bonner,CON,2024-09-01,CON vs. SEA,W,25.365,4,1,12.2,16.0,Home,SEA,98.9,9.0
2024,201886,DeWanna Bonner,CON,2024-09-03,CON vs. SEA,L,33.41667,26,2,11.6,14.66667,Home,SEA,98.9,6.5
2024,201886,DeWanna Bonner,CON,2024-09-06,CON vs. LVA,L,35.23333,11,3,13.8,15.33333,Home,LVA,102.8,6.0
2024,201886,DeWanna Bonner,CON,2024-09-08,CON @ LAS,W,36.44833,14,2,14.0,15.6,Away,LAS,107.5,11.5
2024,201886,DeWanna Bonner,CON,2024-09-10,CON @ LAS,W,23.45,6,2,14.2,14.93333,Away,LAS,107.5,12.33333
2024,201886,DeWanna Bonner,CON,2024-09-13,CON @ PHO,W,27.45,14,3,12.2,13.8,Away,PHO,98.5,14.33333
2024,201886,DeWanna Bonner,CON,2024-09-15,CON @ LVA,L,36.08333,6,2,14.2,13.26667,Away,LVA,102.8,8.5
2024,201886,DeWanna Bonner,CON,2024-09-17,CON vs. MIN,L,31.87167,9,2,10.2,12.53333,Home,MIN,94.8,22.0
2024,201886,DeWanna Bonner,CON,2024-09-19,CON vs. CHI,W,24.135,11,2,9.8,12.6,Home,CHI,108.3,16.66667
2025,201886,DeWanna Bonner,IND,2025-05-17,IND vs. CHI,W,26.5,7,240,9.2,11.4,Home,CHI,108.3,14.0
2025,201886,DeWanna Bonner,IND,2025-05-20,IND vs. ATL,L,16.08333,0,3,9.4,11.26667,Home,ATL,99.4,16.0
2025,201886,DeWanna Bonner,IND,2025-05-22,IND @ ATL,W,19.15,1,2,6.6,10.8,Away,ATL,99.4,10.66667
2025,201886,DeWanna Bonner,IND,2025-05-24,IND vs. NYL,L,23.05,2,2,5.6,9.86667,Home,NYL,97.7,13.33333
2025,201886,DeWanna Bonner,IND,2025-05-28,IND @ WAS,L,25.35,21,4,4.2,9.33333,Away,WAS,,20.0
