SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
2024,1628263,Lindsay Allen,CHI,1022400235,2024-09-19,CHI @ CON,L,25.2,2,7,0.286,0,3,0.0,0,0,0.0,0,1,1,5,1,0,1,1,4,1,4,-16
2024,1628263,Lindsay Allen,CHI,1022400232,2024-09-17,CHI @ ATL,L,30.45,4,12,0.333,0,1,0.0,8,8,1.0,1,3,4,4,3,0,0,1,2,4,16,-7
2024,1628263,Lindsay Allen,CHI,1022400227,2024-09-15,CHI vs. PHO,L,26.05,3,5,0.6,0,1,0.0,0,0,0.0,0,6,6,7,0,0,0,0,2,2,6,-6
2024,1628263,Lindsay Allen,CHI,1022400222,2024-09-13,CHI @ MIN,L,27.916666666666668,4,7,0.571,1,2,0.5,1,2,0.5,0,4,4,5,3,0,0,0,1,2,10,-4
2024,1628263,Lindsay Allen,CHI,1022400216,2024-09-11,CHI vs. WAS,L,28.866666666666667,3,7,0.429,0,2,0.0,0,0,0.0,0,4,4,5,1,3,1,2,2,1,6,-21
2024,1628263,Lindsay Allen,CHI,1022400210,2024-09-08,CHI vs. DAL,W,21.116666666666667,2,3,0.667,0,0,0.0,0,0,0.0,0,2,2,1,2,1,0,0,1,3,4,7
2024,1628263,Lindsay Allen,CHI,1022400205,2024-09-06,CHI vs. LAS,W,31.616666666666667,3,7,0.429,2,2,1.0,0,0,0.0,0,1,1,6,1,1,0,0,2,1,8,14
2024,1628263,Lindsay Allen,CHI,1022400197,2024-09-03,CHI @ LVA,L,18.583333333333332,0,3,0.0,0,1,0.0,0,0,0.0,0,2,2,3,2,0,0,0,1,0,0,-12
2024,1628263,Lindsay Allen,CHI,1022400191,2024-09-01,CHI @ MIN,L,32.53333333333333,3,7,0.429,0,1,0.0,0,0,0.0,0,2,2,6,3,0,0,0,3,1,6,-7
2024,1628263,Lindsay Allen,CHI,1022400185,2024-08-30,CHI vs. IND,L,25.133333333333333,6,9,0.667,3,3,1.0,4,4,1.0,2,2,4,6,3,1,0,0,0,3,19,-7
2024,1628263,Lindsay Allen,CHI,1022400181,2024-08-28,CHI vs. WAS,L,26.25,3,8,0.375,0,1,0.0,2,2,1.0,0,1,1,4,2,0,0,1,0,2,8,-10
2024,1628263,Lindsay Allen,CHI,1022400174,2024-08-25,CHI vs. LVA,L,34.016666666666666,7,12,0.583,1,3,0.333,1,2,0.5,0,3,3,5,3,0,0,0,3,4,16,3
2024,1628263,Lindsay Allen,CHI,1022400169,2024-08-23,CHI @ CON,L,30.366666666666667,5,9,0.556,0,1,0.0,4,4,1.0,0,1,1,6,5,3,0,0,2,4,14,3
2024,1628263,Lindsay Allen,CHI,1022400161,2024-08-18,CHI @ PHO,L,22.3,1,6,0.167,0,1,0.0,0,0,0.0,0,1,1,2,1,1,0,0,0,1,2,-11
2024,1628263,Lindsay Allen,CHI,1022400157,2024-08-17,CHI @ LAS,W,26.3,7,11,0.636,0,1,0.0,2,3,0.667,2,2,4,6,4,1,0,0,4,4,16,5
2024,1628263,Lindsay Allen,CHI,1022400149,2024-08-15,CHI vs. PHO,L,16.366666666666667,2,4,0.5,1,1,1.0,0,0,0.0,1,1,2,6,0,0,0,1,2,3,5,-11
2024,1628263,Lindsay Allen,CHI,1022400146,2024-07-16,CHI @ LVA,W,26.95,3,8,0.375,0,2,0.0,0,0,0.0,0,5,5,4,1,1,0,0,0,0,6,16
2024,1628263,Lindsay Allen,CHI,1022400137,2024-07-13,CHI vs. NYL,L,32.25,4,7,0.571,0,1,0.0,0,0,0.0,1,1,2,4,2,2,0,0,2,3,8,-2
2024,1628263,Lindsay Allen,CHI,1022400133,2024-07-11,CHI @ NYL,L,32.93333333333333,2,6,0.333,0,2,0.0,1,1,1.0,1,1,2,7,2,1,0,0,5,1,5,-7
2024,1628263,Lindsay Allen,CHI,1022400130,2024-07-10,CHI vs. ATL,W,22.666666666666668,2,3,0.667,1,1,1.0,0,0,0.0,0,1,1,3,1,0,0,0,0,1,5,10
2024,1628263,Lindsay Allen,CHI,1022400125,2024-07-07,CHI @ SEA,L,25.55,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,6,0,0,0,0,3,1,2,-11
2024,1628263,Lindsay Allen,CHI,1022400120,2024-07-05,CHI @ SEA,W,31.2,2,4,0.5,0,1,0.0,1,2,0.5,0,2,2,1,0,3,0,0,4,5,5,2
